"","X","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp","significant","expression","human_gene"
"187",109,"Zbtb7b",1.59088610417266e-41,1.23697934042932,0.645,0.392,2.40860156171741e-37,"Untreated","significant","positive","ZBTB7B"
"188",383,"Wdr46",2.29035720695033e-18,1.23690012714518,0.342,0.183,3.46760081132281e-14,"Untreated","significant","positive","WDR46"
"189",316,"Ceacam1",1.17383135195997e-21,-1.23673181757596,0.34,0.537,1.7771806668674e-17,"Untreated","significant","negative","PSG9"
"190",1648,"Cd93",1.22723865692527e-10,-1.23450255336984,0.335,0.398,1.85803932658486e-06,"NP+","significant","negative","CD93"
"191",1554,"Ctsd",2.83069048828337e-19,1.22898702917959,0.376,0.277,4.28566539926102e-15,"NP+","significant","positive","CTSD"
"192",1171,"Cd9",2.51636730627445e-36,-1.22890219526876,0.249,0.423,3.80978010169952e-32,"NP-","significant","negative","CD9"
"193",1318,"Ctsb",2.1676764313779e-214,1.22740854138239,0.998,0.871,3.28186211710614e-210,"NP+","significant","positive","CTSB"
"194",1362,"Mmp14",1.09199730663969e-72,1.22338716338858,0.55,0.315,1.65328392225249e-68,"NP+","significant","positive","MMP14"
"195",299,"Dram1",1.28682680439723e-22,-1.21869537599108,0.244,0.471,1.94825578185741e-18,"Untreated","significant","negative","DRAM1"
"196",226,"Rasgrp4",2.82600466560166e-27,1.21792588386497,0.465,0.252,4.27857106372091e-23,"Untreated","significant","positive","RASGRP4"
"197",1399,"Rgs1",2.10199058998085e-51,1.21735778132835,0.344,0.157,3.18241375323101e-47,"NP+","significant","positive","RGS1"
"198",154,"Txn1",1.16040812436789e-34,-1.21096656911376,0.287,0.586,1.75685790029299e-30,"Untreated","significant","negative","TXN"
