"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp"
"1641","Vcl",3.05371811654722e-11,-0.610892365040605,0.234,0.313,4.6233292284525e-07,"NP+"
"1642","Slc25a37",5.09814312167161e-11,0.532579469074018,0.252,0.175,7.71858868621082e-07,"NP+"
"1643","Anks1",5.53109205009459e-11,-0.701890020800152,0.215,0.289,8.37407336384321e-07,"NP+"
"1644","Trim30a",6.87643120254468e-11,-0.508037049462094,0.242,0.324,1.04109168406526e-06,"NP+"
"1645","Gadd45b",8.5930301039946e-11,0.545734227421343,0.356,0.268,1.30098475774478e-06,"NP+"
"1646","Mif4gd",9.36331223152852e-11,0.531262429284687,0.271,0.193,1.41760547185342e-06,"NP+"
"1647","Pttg1ip",1.00324900760429e-10,-0.529491894835287,0.411,0.485,1.51891899751289e-06,"NP+"
"1648","Cd93",1.22723865692527e-10,-1.23450255336984,0.335,0.398,1.85803932658486e-06,"NP+"
"1649","Mapk6",1.74330293514906e-10,0.522718937013624,0.277,0.199,2.63936064381568e-06,"NP+"
"1650","Atp5md",3.188543083973e-10,0.533269424796244,0.251,0.178,4.82745422913513e-06,"NP+"
"1651","Trim56",3.42517149288993e-10,-0.755575736781153,0.199,0.267,5.18570964023536e-06,"NP+"
"1652","Carhsp1",4.49923098394009e-10,-0.768180293173876,0.183,0.25,6.81183570968529e-06,"NP+"
"1653","Rnd3",9.3673972915105e-10,-0.538731826526421,0.197,0.271,1.41822394993469e-05,"NP+"
"1654","Patz1",1.35278825204171e-09,-0.651998319183266,0.185,0.253,2.04812141359114e-05,"NP+"
"1655","Lgals9",1.4762851710576e-09,-0.689674178744629,0.257,0.324,2.2350957489812e-05,"NP+"
"1656","Phactr2",1.68233337195882e-09,-0.598555526239572,0.208,0.276,2.54705272514566e-05,"NP+"
"1657","Jak3",2.16992930010102e-09,-0.632505311440106,0.267,0.335,3.28527296035295e-05,"NP+"
"1658","Hmbox1",3.0509139036768e-09,-0.87519113341796,0.195,0.256,4.61908365016668e-05,"NP+"
"1659","Nucb1",3.54721121411591e-09,-0.528903225018194,0.43,0.48,5.37047777817149e-05,"NP+"
"1660","Clec4e",5.8499965805777e-09,0.976141485700246,0.264,0.2,8.85689482299464e-05,"NP+"
"1661","Il18bp",1.74737068805413e-08,-0.688862211932298,0.209,0.27,0.000264551922171395,"NP+"
"1662","Ypel3",1.8386342648115e-08,-0.537116341164414,0.254,0.32,0.000278369227692461,"NP+"
"1663","Reep3",2.5916044750406e-08,-0.582004349975724,0.2,0.261,0.000392368917521146,"NP+"
"1664","Gnaq",8.37811913195996e-08,-0.534820433577133,0.217,0.278,0.00126844723657874,"NP+"
"1665","Jmjd1c",1.08467051372655e-07,-0.50099213467051,0.238,0.3,0.001642191157782,"NP+"
"1666","Herc6",1.22418908920676e-07,-0.523018441000509,0.237,0.298,0.00185342228105904,"NP+"
